DATAFLOW,FREQ,INDICATOR,REF_AREA,SEX,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,FOOTNOTE
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2008-Q1,257,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2008-Q2,268,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2008-Q3,320,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2008-Q4,315,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2009-Q1,330,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2009-Q2,328,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2009-Q3,313,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2009-Q4,297,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2010-Q1,283,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2010-Q2,309,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2010-Q3,308,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2010-Q4,264,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2011-Q1,270,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2011-Q2,289,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2011-Q3,304,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2011-Q4,253,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2012-Q1,279,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2012-Q2,282,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2012-Q3,278,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2012-Q4,256,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2013-Q1,295,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2013-Q2,308,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2013-Q3,306,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2013-Q4,326,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2014-Q1,333,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2014-Q2,309,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2014-Q3,338,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2014-Q4,320,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2015-Q1,361,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2015-Q2,316,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2015-Q3,314,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2015-Q4,304,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2016-Q1,360,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2016-Q2,344,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2016-Q3,395,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2016-Q4,345,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2017-Q1,353,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2017-Q2,365,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2017-Q3,349,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2017-Q4,314,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2018-Q1,346,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2018-Q2,346,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2018-Q3,381,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2018-Q4,352,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2019-Q1,348,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2019-Q2,452,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2019-Q3,420,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2019-Q4,401,0,,PS,3,Source: QLFS
ZA110:DF_UNE_SEX_PROV(1.0),Q,UNE,NW,_T,2020-Q1,483,0,,PS,3,Source: QLFS
